"Bill of Material for "
"On 03.03.2022 at 11:31:35"

"Comment","Pattern","Quantity","Components"

"?K","R_1206","1","R1","0,25 Вт"
"0.1 мкФ","C_0603","2","C5, C6","SMD"
"0.1 мкФ","C_0805","3","C50, C51, C52","SMD"
"0.1мкФ","C_1210","2","C3, C43","SMD"
"1.5K","R_1206","1","R15","0,25 Вт"
"100","R_1206","2","R11, R12","0,25 Вт"
"1000 мкФ","C_10x5","3","C1, C2, C45","К50-35"
"1000 мкФ","C_12.5x5","1","C4","К50-35"
"10K","R_0603","2","R48, R49","0,25 Вт"
"10K","R_0805","1","R47","0,25 Вт"
"10K","R_1206","1","R50","0,25 Вт"
"10В","DL-35","4","VD2, VD3, VD4, VD5","стабилитрон, SMD"
"130","R_1206","12","R6, R20, R24, R25, R26, R28, R30, R34, R36, R37, R38, R40","0,25 Вт"
"1K","R_1206","1","R18","0,25 Вт"
"1N4148W","SOD-123","1","VD6","диод, SMD"
"2.2K","R_1206","4","R7, R8, R16, R17","0,25 Вт"
"2N7002.215","SOT23","1","VT1","MOSFET, SOT23"
"300-031-12","300-031-12","5","X5, X6, X7, X8, X9","клеммник винтовой 3к.,5мм"
"360","R_1206","15","R2, R3, R9, R10, R19, R21, R22, R23, R27, R29, R31, R32, R33, R35, R39","0,25 Вт"
"3K","R_1206","4","R4, R5, R13, R14","0,25 Вт"
"5.1K","R_0805","1","R46","0,25 Вт"
"5.1K","R_1206","1","R51","0,25 Вт"
"820","R_1206","5","R41, R42, R43, R44, R45","0,25 Вт"
"ACS712","SO08","1","U5","Current Sensor 5A 1 Channel Hall Effect, Open Loop Bidirectional 8-SOIC (0.154, 3.90mm Width)"
"AT24C256C-SSHL-B","SOIC8","1","U4","EEPROM Memory IC 256Kb _32K x 8_ IA?C 1MHz 550ns 8-SOIC"
"BC857","SOT23","1","VT2","PNP, SMD"
"DG508V-02","DG508V-02","20","X1, X2, X3, X4, X10, X11, X12, X13, X14, X15, X16, X17, X18, X19, X20, X22, X23, X24, X25, X30","клеммник винтовой 2к.,5.08мм"
"IRFZ44N","DPAK254P1524X483-3N","4","Q1, Q2, Q3, Q4","N-Channel 55V 49A (Tc) 3.8W (Ta), 94W (Tc) Surface Mount D2PAK"
"KPC357NT","Mini-flat-4","11","DA5, DA6, DA7, DA8, DA9, DA10, DA11, DA12, DA13, DA14, DA15","оптрон, SMD"
"KPC357NT0C","Mini-flat-4","9","DA1, DA2, DA3, DA4, DA16, DA17, DA18, DA19, DA20","оптрон, SMD"
"LD1117S","SOT223","2","DD1, DD2","Стабилизатор SOT223"
"PCF8574DW","SOIC127P1030X265-16N","2","A1, A2","Remote 8-Bit I/O Expander for I2C-Bus 16-SOIC -40 to 85"
"SMA400*","SMA (DO-214AC)","4","VD11, VD12, VD13, VD14","диод, SMD"
"SMA400*","SOD-123","1","VD1","диод, SMD"
"USB-B-S-X-X-TH","SAMTEC_USB-B-S-X-X-TH","1","J1","USB-B (USB TYPE-B) USB 2.0 Receptacle Connector 4 Position Through Hole, Right Angle"
"ZC323000","MODULE_ZC323000","1","U1","STM32F103C8T6 ARM STM32 Minimum System Development Board Module For Arduino"
